fdc_id,unit,description,grams
167512,serving,serving,34
167513,serving,serving 1 roll with icing,44
167514,serving,serving,28
167515,serving,serving,57
167516,waffle,"waffle, square",39
167516,waffle,"waffle, round",38
167517,oz,oz,28
167517,waffle,"waffle round (4"" dia)",33
167518,waffle,waffle,35
167519,waffle,"waffle, round (4""dia)",32
167520,oz,oz,28.35
167520,crust,crust,183
167521,crust,crust,182
167522,pie,"pie 1 pie (1/8 of 9"" pie)",1091.67
167522,slice,slice,137
167522,pie,pie,1137
167522,oz,oz,28.35
167523,pie,pie crust (average weight),225
167524,waffle,waffles,35
167525,piece,piece,12.3
167525,piece,"pieces (mean serving weight, aggregated over brands)",12.333
167526,serving,serving (approximate serving size),55
167526,cake,cake square (average weight of whole item),399
167527,serving,serving,55
167527,cake,cake square,622
167528,piece,piece,86
167529,serving,serving (1 NLEA serving - about 4 crackers),30
167529,cracker,cracker,12.7
167530,cracker,crackers (1 NLEA serving),2.818
167530,cracker,cracker,3.1
167531,cracker,crackers (1 NLEA serving),3.2
167531,cracker,cracker,3.1
167532,slice,slice,28
167533,bagel,bagel,98
167534,oz,oz,28.25
167535,tortilla,tortilla,49
167535,package,package,484
167536,oz,oz,28.35
167536,piece,"piece, large",20
167536,oz,oz,28.35
167537,oz,oz,28
167537,oz,oz,28.35
167537,bag,bag (7 oz),198
167538,oz,oz,28.35
167538,bag,bag (7 oz),198
167539,oz,oz,28.35
167540,oz,oz,28.35
167540,package,package,27
167540,packet,packet (.75 oz),21
167541,large,large,21
167541,small,small,14
167542,bar,bar,21
167542,bar,bar (1 oz),28
167542,bar,bar,25
167543,oz,oz,28.35
167543,bar,bar,24
167544,bar,bar (1.5 oz),43
167544,bar,bar (1 oz),28
167545,bar,bar (1.25 oz),35
167545,bar,bar (1 oz),28
167546,serving,serving,40
167547,oz,oz,28.35
167547,bar,bar,37
167548,bar,bar (1 oz),28
167549,cup,cup,11
167549,oz,oz,28.35
167550,cake,cake,10
167550,cake,cakes,10
167551,oz,oz (approx 2/3 cup),28.35
167551,oz,oz,28.5
167552,oz,oz,28.35
167553,oz,oz,28.35
167553,can,can (6 oz),170
167554,oz,oz,28.35
167554,can,can (6.75 oz),198
167555,oz,oz,28.35
167555,twist,twists,6
167556,oz,oz,28.35
167556,pretzel,pretzel,11
167557,cake,cake,9
167557,cake,cakes,9
167558,oz,oz,28.35
167558,bag,bag,213
167559,oz,oz,28.35
167560,oz,oz,28.35
167560,bag,bag (7 oz),198
167561,cup,cup,150
167561,oz,oz,28.35
167561,oz,oz,28
167562,package,package 1.76 oz,49
167562,bar,bar snack size,19
167563,piece,pieces,2.222
167564,serving,serving 6 pieces,40
167565,serving,serving 2.1 oz bar,60
167565,serving,serving 1 fun size bar 0.65 oz,18
167565,serving,serving 0.75 oz bar,21
167565,bar,bar bite size,7
167565,bar,bar king size,108
167565,butterfinger,Butterfinger BB's,2.6
167565,tbsp,tbsp,12.5
167565,cup,cup BB's,174
167566,piece,piece,6.6
167566,bar,bar 2.25 oz,64
167566,serving,serving 6 pieces,40
167567,oz,oz,28.35
167568,oz,oz square Bakers,29
167568,cup,"cup, grated",132
167568,oz,oz Hersheys,28.4
167569,cup,cup chips,170
167570,cup,cup chips,168
167570,oz,oz,28.35
167571,bar,bar (3 oz),85
167571,tbsp,tbsp,14
167571,cup,cup chips,170
167572,serving,serving 1/2 cup,76
167573,cup,cup,214
167574,cup,cup,306
167574,recipe,recipe yield,1531
167575,serving,serving 1/2 cup,66
167576,serving,serving 1/2 cup,88
167577,cup,cup (4 fl oz),148
167577,bar,bar (2.75 fl oz),66
167578,piece,piece,16
167579,oz,oz,28.35
167580,oz,oz,28.35
167581,package,package 1.375 oz,39
167581,serving,serving 0.25 cup,41
167581,serving,serving fun size,48
167582,serving,serving 2.1 oz bar,60
167582,serving,serving fun size bar 0.65 oz,18
167583,piece,pieces 1.6oz,11.25
167584,serving,serving 1/4 cup,73
167585,serving,serving,68
167585,unit,unit,100
167586,serving,serving 1.4 oz bar,40
167587,bar,"bar, miniature",7
167587,bar,bar (1.55 oz),44
167587,cup,cup chips,168
167588,cup,cup From 19191,294
167589,cup,cup From 19211,284
167590,roll,roll,69
167591,cracker,crackers,1.3
167592,cooky,cookies,14.667
167593,cooky,cookies,15
167594,goldfish,goldfish,0.52
167595,goldfish,goldfish,0.53
167596,goldfish,goldfish,0.51
167597,slice,slice,34
167598,slice,slice,28
167599,slice,slice,25
167600,roll,roll,44
167601,pancake,pancake,48
167601,box,box,352
167602,cup,cup,20
167603,cup,cup,100
167604,cup,cup unprepared,159
167605,cup,cup prepared,130
167606,fry,fries,4.25
167681,tsp,tsp,8
167682,fl oz,fl oz assumed specific gravity of honey,28.4
167683,bar,bar,78
167684,tbsp,tbsp,15
167684,cup,cup,245
167685,cup,cup pieces,138
167685,cubic,cubic inch,14
167685,slice,"slice, medium",28
167685,slice,"slice, thick",43
167685,slice,"slice, thin",14
167686,cup,cup,137
167687,cup,cup,75
167688,cup,cup,94
167688,packet,packet,3
167689,serving,serving 1.63 oz singles bag,46
167689,cup,cup,203
167689,piece,piece,2.2
167691,tbsp,tbsp,13
167691,cup,cup,207
167692,tbsp,tbsp,16
167692,cup,cup,249
167693,tbsp,tbsp,16
167693,cup,cup,260
167694,cup,"cup, cooked",130
167694,oz,oz,28
167694,oz,"oz cooked, yield",21
167694,patty,"patty, cooked",25
167695,tbsp,tbsp,15
167695,cup,cup,240
167696,frankfurter,frankfurter,57
167696,cup,"cup, sliced",151
167697,cup,cup,245
167697,fl oz,fl oz,30.6
167698,link,links 1 NLEA serving,22.5
167698,link,links 1 NLEA serving,20
167699,tbsp,tbsp,17
167699,cup,cup,265
167700,tbsp,tbsp,16
167700,cup,cup,256
167701,serving,serving 1.76 oz bar,50
167701,bar,bar fun size,19
167701,serving,serving 5 miniatures,41
167702,tbsp,tbsp,13.6
167702,cup,cup,218
167703,oz,oz,28.25
167703,cup,cup,227
167704,tbsp,tbsp,15
167704,cup,cup,240
167705,cup,"cup, grated",100
167705,tbsp,tbsp,5
167706,tbsp,tablespoon,17
167707,tsp,tsp,2
167708,cup,cup,242
167708,fl oz,fl oz,30.2
167709,oz,"oz with bone, cooked (yield after bone removed)",28.333
167709,cubic,"cubic inch, boneless",17
167710,oz,"oz with bone, cooked (yield after bone removed)",28.333
167710,cubic,"cubic inch, boneless",17
167711,cup,cup,244
167711,fl oz,fl oz,30.5
167712,oz,oz,28.333
167712,slice,slice cooked,8
167713,oz,oz,28.333
167713,medium,"medium slice (approx 3"" x 2"" x 1/4"")",28
167713,thick,"thick slice (approx 3"" x 2"" x 3/8"")",42
167715,cup,cup (1 NLEA serving),47.2
167716,oz,oz,28.25
167716,cup,cup,226
167717,tsp,tsp,6
167719,cup,"cup, diced",130
167719,cup,cup pieces,168
167719,piece,piece,36
167721,oz,oz,28.4
167722,cup,cup,262
167723,fl oz,fl oz,29.1
167724,cup,cup,21
167725,cup,cup (1 NLEA serving),50
167727,cup,cup,252
167727,fl oz,fl oz,31.5
167730,cup,cup,244
167730,fl oz,fl oz,30.5
167734,oz,oz,28.35
167734,bar,bar,37
167735,cup,"cup, diced",132
167735,cup,"cup, shredded",113
167735,cubic,cubic inch,18
167735,slice,slice (1 oz),28
167736,tbsp,tbsp,15
167736,cup,cup,239
167737,tbsp,tablespoon,14
167737,tsp,teaspoon,4.5
167738,serving,serving,151
167738,cup,cup,262
167739,fl oz,fl oz,36
